,0
0,2016-01-27 14:00:00
1,2016-03-16 13:00:00
2,2016-04-27 13:00:00
3,2016-06-15 13:00:00
4,2016-07-27 13:00:00
5,2016-09-21 13:00:00
6,2016-11-02 13:00:00
7,2016-12-14 14:00:00
8,2017-02-01 14:00:00
9,2017-03-15 13:00:00
10,2017-05-03 13:00:00
11,2017-06-14 13:00:00
12,2017-07-26 13:00:00
13,2017-09-20 13:00:00
14,2017-11-01 13:00:00
15,2017-12-13 14:00:00
16,2018-01-31 14:00:00
17,2018-03-21 13:00:00
18,2018-05-02 13:00:00
19,2018-06-13 13:00:00
20,2018-08-01 13:00:00
21,2018-09-26 13:00:00
22,2018-11-08 14:00:00
23,2018-12-19 14:00:00
24,2019-01-30 14:00:00
25,2019-03-20 13:00:00
26,2019-05-01 13:00:00
27,2019-06-19 13:00:00
28,2019-07-31 13:00:00
29,2019-09-18 13:00:00
30,2019-10-30 13:00:00
31,2019-12-11 14:00:00
32,2020-01-29 14:00:00
33,2020-03-03 10:00:00
34,2020-03-15 16:00:00
35,2020-03-23 07:00:00
36,2020-04-29 13:00:00
